userId,movieId,rating,timestamp
742307442605763,5816,5,1495584829
742307442605763,4896,5,1495584842
742307442605763,40815,5,1495584848
742307442605763,88125,5,1495584865
742307442605763,54001,4,1495584871
742307442605763,81834,3.5,1495584875
742307442605763,8368,3.5,1495584879
742307442605763,73017,5,1495584931
742307442605763,89745,5,1495584936
742307442605763,91529,5,1495584955
742307442605763,88140,5,1495584958
742307442605763,102125,4,1495584962
742307442605763,59315,5,1495584965
742307442605763,76093,4,1495584982
742307442605763,48780,5,1495584998
742307442605763,68157,5,1495585020
742307442605763,48516,4,1495585024
742307442605763,49272,3,1495585028
742307442605763,51662,5,1495585048
742307442605763,54286,4,1495585053
742307442605763,8665,3.5,1495585078
742307442605763,58559,5,1495585081
742307442605763,68157,4,1495585106
742307442605763,54286,4,1495585113
742307442605763,79132,5,1495585121
742307442605763,72998,5,1495585126
742307442605763,33794,3.5,1495585130
742307442605763,122892,5,1495585164
742307442605763,110102,5,1495585182
742307442605763,119145,4,1495585186
742307442605763,122900,4,1495585190
